filename,fold,target,category,esc10,src_file,take
human_chunk20210721_093000_1_16bit.wav,1,3,human,FALSE,human_chunk20210721_093000_1_16bit.wav,A
bee_chunk20210721_093000_13._16bit.wav,1,1,bee,FALSE,bee_chunk20210721_093000_13._16bit.wav,A
bee_chunk20210721_093000_14._16bit.wav,1,1,bee,FALSE,bee_chunk20210721_093000_14._16bit.wav,A
bee_chunk20210721_093000_15._16bit.wav,1,1,bee,FALSE,bee_chunk20210721_093000_15._16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
human_chunk20210721_093000_2_16bit.wav,1,3,human,FALSE,human_chunk20210721_093000_2_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
human_chunk20210721_093000_3_16bit.wav,1,3,human,FALSE,human_chunk20210721_093000_3_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
traffic_chunk20210721_093000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_093000_16bit.wav,A
other_chunk20210721_093000_6_16bit.wav,1,5,other,FALSE,other_chunk20210721_093000_6_16bit.wav,A
other_chunk20210721_093000_7_16bit.wav,1,5,other,FALSE,other_chunk20210721_093000_7_16bit.wav,A
other_chunk20210721_093000_8_16bit.wav,1,5,other,FALSE,other_chunk20210721_093000_8_16bit.wav,A
other_chunk20210721_093000_9_16bit.wav,1,5,other,FALSE,other_chunk20210721_093000_9_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
other_chunk20210721_103000_1_16bit.wav,1,5,other,FALSE,other_chunk20210721_103000_1_16bit.wav,A
other_chunk20210721_103000_1_16bit.wav,1,5,other,FALSE,other_chunk20210721_103000_1_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
bee_chunk20210721_103000_2.w_16bit.wav,1,1,bee,FALSE,bee_chunk20210721_103000_2.w_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
other_chunk20210721_103000_2_16bit.wav,1,5,other,FALSE,other_chunk20210721_103000_2_16bit.wav,A
other_chunk20210721_103000_2_16bit.wav,1,5,other,FALSE,other_chunk20210721_103000_2_16bit.wav,A
other_chunk20210721_103000_2_16bit.wav,1,5,other,FALSE,other_chunk20210721_103000_2_16bit.wav,A
other_chunk20210721_103000_2_16bit.wav,1,5,other,FALSE,other_chunk20210721_103000_2_16bit.wav,A
other_chunk20210721_103000_2_16bit.wav,1,5,other,FALSE,other_chunk20210721_103000_2_16bit.wav,A
other_chunk20210721_103000_2_16bit.wav,1,5,other,FALSE,other_chunk20210721_103000_2_16bit.wav,A
other_chunk20210721_103000_2_16bit.wav,1,5,other,FALSE,other_chunk20210721_103000_2_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
traffic_chunk20210721_103000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_103000_16bit.wav,A
bee_chunk20210721_113000_1.w_16bit.wav,1,1,bee,FALSE,bee_chunk20210721_113000_1.w_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
other_chunk20210721_113000_1_16bit.wav,1,5,other,FALSE,other_chunk20210721_113000_1_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
other_chunk20210721_113000_2_16bit.wav,1,5,other,FALSE,other_chunk20210721_113000_2_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
traffic_chunk20210721_113000_16bit.wav,1,6,traffic,FALSE,traffic_chunk20210721_113000_16bit.wav,A
